locus_num,locus_tag_syn1,locus_tag_syn3a,gene_name,gene_product,TPM_mean_syn1,TPM_mean_syn3a,TPM_fold_change,TPM_log10FC,sense_covering_ops,antisense_covering_ops,coverage_type
392,MMSYN1_0392,JCVISYN3A_0392,,Uncharacterized protein,111.5301,1794.0165,16.085491719275783,1.2064343414396705,OP_00219,,sense_only
247,MMSYN1_0247,JCVISYN3A_0247,ysxC%3B yihA,Ribosome biogenesis GTP-binding protein,102.5664,1641.3496,16.002800137276925,1.2041959812664105,OP_00137,,sense_only
394,MMSYN1_0394,JCVISYN3A_0394,lon,Endopeptidase La,293.4973,4461.7368,15.201968808571662,1.1818998371110798,OP_00220,,sense_only
545,MMSYN1_0545,JCVISYN3A_0545,clpB,ATP-dependent Clp protease subunit B,222.2196,3372.6575,15.177137840226512,1.1811898784504222,OP_00290,,sense_only
623,MMSYN1_0623,JCVISYN3A_0623,,Uncharacterized protein,0.6186,9.339,15.096993210475267,1.1788904597350176,OP_00343,,sense_only
202,MMSYN1_0202,JCVISYN3A_0202,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase,8.9781,135.4922,15.091411323108453,1.1787298561557895,OP_00114,,sense_only
448,MMSYN1_0448,JCVISYN3A_0448,,Uncharacterized rRNA methyltransferase,905.8964,13268.7806,14.647128082195714,1.1657524792755076,OP_00248,,sense_only
543,MMSYN1_0543,JCVISYN3A_0543,grpE,Nucleotide exchange factor,91.1416,1310.5332,14.379089241356308,1.1577313790941843,OP_00290,,sense_only
639,MMSYN1_0639,JCVISYN3A_0639,,Uncharacterized efflux ABC transporter permease,21.9549,313.0489,14.258725842522628,1.1540807187637554,"OP_00353,OP_00354",,sense_only
54,MMSYN1_0054,JCVISYN3A_0054,ahpC,Uncharacterized peroxiredoxin,161.5117,2278.6077,14.10800394027182,1.1494655722910339,OP_00034,,sense_only
636,MMSYN1_0636,JCVISYN3A_0636,,Uncharacterized lipoprotein,29.7205,410.398,13.808583301088474,1.1401491241919253,OP_00352,,sense_only
622,MMSYN1_0622,JCVISYN3A_0622,,Uncharacterized lipoprotein,2.4997,34.4307,13.773932871944636,1.1390579620952819,OP_00342,,sense_only
60,MMSYN1_0060,JCVISYN3A_0060,,Uncharacterized protein,670.7703,9193.8662,13.70643005511723,1.1369243541875065,OP_00036,,sense_only
113,MMSYN1_0113,JCVISYN3A_0113,bcsA,Glycolipid synthase A,92.4718,1263.2128,13.660519206936602,1.135467206257835,OP_00063,,sense_only
876,MMSYN1_0876,JCVISYN3A_0876,,Uncharacterized amino acid permease,174.7763,2374.9578,13.588557487485433,1.1331733560352053,OP_00452,,sense_only
389,MMSYN1_0389,JCVISYN3A_0389,,Uncharacterized protein,26.3725,355.3477,13.474175751256043,1.1295022078009027,OP_00217,,sense_only
29,MMSYN1_0029,JCVISYN3A_0029,,Uncharacterized FMN-dependent NADH-azoreductase,669.2409,8696.7164,12.994896755413484,1.113772833376675,OP_00019,,sense_only
414,MMSYN1_0414,JCVISYN3A_0414,relA,Guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase,91.8429,1181.4164,12.863448344945555,1.1093574068798695,OP_00231,OP_00232,both
260,MMSYN1_0260,JCVISYN3A_0260,valRS,Valine--tRNA ligase,130.1301,1672.4346,12.85201963265993,1.1089713803053567,OP_00146,,sense_only
315,MMSYN1_0315,JCVISYN3A_0315,,Uncharacterized protein,34.6201,442.8032,12.790350114528843,1.1068824327293807,OP_00175,,sense_only
685,MMSYN1_0685,JCVISYN3A_0685,natA,Sodium transporter,43.4943,547.7988,12.59472620550279,1.100188730886791,OP_00366,,sense_only
216,MMSYN1_0216,JCVISYN3A_0216,hptA,Hypoxanthine phosphoribosyltransferase,275.371,3419.3245,12.417155401258666,1.0940221163694197,OP_00120,OP_00121,both
304,MMSYN1_0304,JCVISYN3A_0304,cdsA,Phosphatidate cytidylyltransferase,32.5441,401.5354,12.338193405256252,1.0912515736707449,OP_00167,,sense_only
805,MMSYN1_0805,JCVISYN3A_0805,,Uncharacterized protein,27.242,333.9593,12.258986124366785,1.0884545534776142,OP_00417,,sense_only
524,MMSYN1_0524,JCVISYN3A_0524,rsmH%3B mraW,16S rRNA (cytosine(1402)-N(4))-methyltransferase,58.777,716.9341,12.19752794460418,1.0862718217565106,OP_00282,,sense_only
366,MMSYN1_0366,JCVISYN3A_0366,ylqF%3B rbgA,L16-binding dependent 50S subunit-maturation GTPase,118.6713,1403.8205,11.829486152085636,1.0729658802018522,"OP_00200,OP_00201",,sense_only
877,MMSYN1_0877,JCVISYN3A_0877,,Uncharacterized protein,320.99,3656.7494,11.39209757313312,1.0566036960339875,OP_00453,,sense_only
408,MMSYN1_0408,JCVISYN3A_0408,trmK%3B yqfN,Uncharacterized methyltransferase,50.5258,573.4164,11.348982104192313,1.0549569111893686,OP_00227,,sense_only
874,MMSYN1_0874,JCVISYN3A_0874,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase,30.7476,342.7052,11.14575446538917,1.0471094715659433,OP_00451,,sense_only
2,MMSYN1_0002,JCVISYN3A_0002,dnaN,DNA polymerase III subunit beta,63.0896,696.685,11.04278676675712,1.0430786861376382,OP_00001,,sense_only
525,MMSYN1_0525,JCVISYN3A_0525,mraZ,Cell division/cell wall cluster transcriptional repressor,137.334,1497.4792,10.903921825622206,1.0375827292148596,OP_00282,,sense_only
42,MMSYN1_0042,JCVISYN3A_0042,,Uncharacterized transcriptional regulator,166.2349,1767.5674,10.632950120582379,1.026653776596253,OP_00028,,sense_only
775,MMSYN1_0775,JCVISYN3A_0775,rnr,Ribonuclease R,53.9744,571.6191,10.590559598624532,1.024918908565824,"OP_00404,OP_00405",OP_00403,both
379,MMSYN1_0379,JCVISYN3A_0379,,Uncharacterized protein,35.017,367.6443,10.499023331524686,1.0211489008358785,OP_00209,,sense_only
820,MMSYN1_0820,JCVISYN3A_0820,lgt,Diacylglyceryl transferase,18.2738,189.8904,10.391401897799033,1.0166741419178689,OP_00424,,sense_only
299,MMSYN1_0299,JCVISYN3A_0299,,Uncharacterized protein,52.1991,533.8426,10.227046060181113,1.0097502119119297,OP_00166,,sense_only
